time,depth,SM,sitename
8/25/2021,120,0.249041667,BN-PLAYABLANCA
8/25/2021,170,0.305208333,BN-PLAYABLANCA
8/26/2021,10,0.36125,BN-PLAYABLANCA
8/26/2021,40,0.285583333,BN-PLAYABLANCA
8/26/2021,70,0.320833333,BN-PLAYABLANCA
8/26/2021,120,0.248,BN-PLAYABLANCA
8/26/2021,170,0.304208333,BN-PLAYABLANCA
8/27/2021,10,0.347916667,BN-PLAYABLANCA
8/27/2021,40,0.284958333,BN-PLAYABLANCA
8/27/2021,70,0.321541667,BN-PLAYABLANCA
8/27/2021,120,0.248,BN-PLAYABLANCA
8/27/2021,170,0.303208333,BN-PLAYABLANCA
8/28/2021,10,0.341875,BN-PLAYABLANCA
8/28/2021,40,0.283375,BN-PLAYABLANCA
8/28/2021,70,0.31975,BN-PLAYABLANCA
8/28/2021,120,0.248,BN-PLAYABLANCA
8/28/2021,170,0.303,BN-PLAYABLANCA
8/29/2021,10,0.337541667,BN-PLAYABLANCA
8/29/2021,40,0.281791667,BN-PLAYABLANCA
8/29/2021,70,0.317791667,BN-PLAYABLANCA
8/29/2021,120,0.247333333,BN-PLAYABLANCA
8/29/2021,170,0.302833333,BN-PLAYABLANCA
8/30/2021,10,0.334791667,BN-PLAYABLANCA
8/30/2021,40,0.280375,BN-PLAYABLANCA
8/30/2021,70,0.316125,BN-PLAYABLANCA
8/30/2021,120,0.246958333,BN-PLAYABLANCA
8/30/2021,170,0.302,BN-PLAYABLANCA
8/31/2021,10,0.332833333,BN-PLAYABLANCA
8/31/2021,40,0.27925,BN-PLAYABLANCA
8/31/2021,70,0.3145,BN-PLAYABLANCA
8/31/2021,120,0.246,BN-PLAYABLANCA
8/31/2021,170,0.301875,BN-PLAYABLANCA
9/1/2021,10,0.33075,BN-PLAYABLANCA
9/1/2021,40,0.278041667,BN-PLAYABLANCA
9/1/2021,70,0.313,BN-PLAYABLANCA
9/1/2021,120,0.245625,BN-PLAYABLANCA
9/1/2021,170,0.301,BN-PLAYABLANCA
9/2/2021,10,0.328583333,BN-PLAYABLANCA
9/2/2021,40,0.276791667,BN-PLAYABLANCA
9/2/2021,70,0.311541667,BN-PLAYABLANCA
9/2/2021,120,0.245,BN-PLAYABLANCA
9/2/2021,170,0.30025,BN-PLAYABLANCA
9/3/2021,10,0.327208333,BN-PLAYABLANCA
9/3/2021,40,0.275916667,BN-PLAYABLANCA
9/3/2021,70,0.31025,BN-PLAYABLANCA
9/3/2021,120,0.2445,BN-PLAYABLANCA
9/3/2021,170,0.299583333,BN-PLAYABLANCA
9/4/2021,10,0.325875,BN-PLAYABLANCA
9/4/2021,40,0.275,BN-PLAYABLANCA
9/4/2021,70,0.309083333,BN-PLAYABLANCA
9/4/2021,120,0.244,BN-PLAYABLANCA
9/4/2021,170,0.298875,BN-PLAYABLANCA
9/5/2021,10,0.324333333,BN-PLAYABLANCA
9/5/2021,40,0.274125,BN-PLAYABLANCA
9/5/2021,70,0.308,BN-PLAYABLANCA
9/5/2021,120,0.243791667,BN-PLAYABLANCA
9/5/2021,170,0.298,BN-PLAYABLANCA
9/6/2021,10,0.339166667,BN-PLAYABLANCA
9/6/2021,40,0.274,BN-PLAYABLANCA
9/6/2021,70,0.307041667,BN-PLAYABLANCA
9/6/2021,120,0.243,BN-PLAYABLANCA
9/6/2021,170,0.297291667,BN-PLAYABLANCA
9/7/2021,10,0.346625,BN-PLAYABLANCA
9/7/2021,40,0.274583333,BN-PLAYABLANCA
9/7/2021,70,0.307416667,BN-PLAYABLANCA
9/7/2021,120,0.243,BN-PLAYABLANCA
9/7/2021,170,0.296708333,BN-PLAYABLANCA
9/8/2021,10,0.337166667,BN-PLAYABLANCA
9/8/2021,40,0.275,BN-PLAYABLANCA
9/8/2021,70,0.308,BN-PLAYABLANCA
9/8/2021,120,0.24225,BN-PLAYABLANCA
9/8/2021,170,0.295083333,BN-PLAYABLANCA
9/9/2021,10,0.332083333,BN-PLAYABLANCA
9/9/2021,40,0.274083333,BN-PLAYABLANCA
9/9/2021,70,0.307583333,BN-PLAYABLANCA
9/9/2021,120,0.242,BN-PLAYABLANCA
9/9/2021,170,0.294125,BN-PLAYABLANCA
9/10/2021,10,0.328375,BN-PLAYABLANCA
9/10/2021,40,0.27375,BN-PLAYABLANCA
9/10/2021,70,0.307,BN-PLAYABLANCA
9/10/2021,120,0.242,BN-PLAYABLANCA
9/10/2021,170,0.293416667,BN-PLAYABLANCA
9/11/2021,10,0.366166667,BN-PLAYABLANCA
9/11/2021,40,0.294416667,BN-PLAYABLANCA
9/11/2021,70,0.32375,BN-PLAYABLANCA
9/11/2021,120,0.245291667,BN-PLAYABLANCA
9/11/2021,170,0.293541667,BN-PLAYABLANCA
9/12/2021,10,0.384958333,BN-PLAYABLANCA
9/12/2021,40,0.309208333,BN-PLAYABLANCA
9/12/2021,70,0.347041667,BN-PLAYABLANCA
9/12/2021,120,0.258625,BN-PLAYABLANCA
9/12/2021,170,0.307916667,BN-PLAYABLANCA
9/13/2021,10,0.367583333,BN-PLAYABLANCA
9/13/2021,40,0.298166667,BN-PLAYABLANCA
9/13/2021,70,0.337,BN-PLAYABLANCA
9/13/2021,120,0.255583333,BN-PLAYABLANCA
9/13/2021,170,0.307791667,BN-PLAYABLANCA
9/14/2021,10,0.354083333,BN-PLAYABLANCA
