      nSoil_Types           37543                
         ID    CLAY[%]    SAND[%]    Bd_mu[gcm-3]    nSamples
        418          4         47             0.6           7
        419          4         47             0.7          65
        420          4         47             0.8          38
        421          4         47             0.9          12
        422          4         47               1          18
        423          4         47             1.1           3
        424          4         48             0.6          11
        425          4         48             0.7          95
        426          4         48             0.8          61
        427          4         48             0.9          25
        428          4         48               1          29
        429          4         48             1.1           9
        430          4         48             1.2           4
        431          4         49             0.6          21
        432          4         49             0.7         152
        433          4         49             0.8          98
        434          4         49             0.9          21
        435          4         49               1          24
        436          4         49             1.1           7
        437          4         49             1.2           1
        438          4         49             1.3           1
        439          4         50             0.6          25
        440          4         50             0.7         219
        441          4         50             0.8          96
        442          4         50             0.9          32
        443          4         50               1          24
        444          4         50             1.1          10
        445          4         50             1.2           9
        446          4         50             1.3           5
        447          4         51             0.6          40
        448          4         51             0.7         259
        449          4         51             0.8         146
        450          4         51             0.9          34
        451          4         51               1          35
        452          4         51             1.1           9
        453          4         51             1.2           8
        454          4         51             1.3          10
        455          4         51             1.4           1
        456          4         52             0.5           1
        457          4         52             0.6          45
        458          4         52             0.7         320
        459          4         52             0.8         194
        460          4         52             0.9          75
        461          4         52               1          65
        462          4         52             1.1          19
        463          4         52             1.2           8
        464          4         52             1.3          14
        465          4         52             1.4           3
        466          4         53             0.6          86
        467          4         53             0.7         440
        468          4         53             0.8         321
        469          4         53             0.9         121
        470          4         53               1          86
        471          4         53             1.1          37
        472          4         53             1.2          12
        473          4         53             1.3          18
        474          4         53             1.4           5
        475          4         53             1.6           1
        476          4         54             0.5           3
        477          4         54             0.6         138
        478          4         54             0.7         669
        479          4         54             0.8         551
        480          4         54             0.9         362
        481          4         54               1         229
        482          4         54             1.1          66
        483          4         54             1.2          17
        484          4         54             1.3          20
        485          4         54             1.4           3
        486          4         54             1.5           1
        487          4         55             0.4           1
        488          4         55             0.5          19
        489          4         55             0.6         326
        490          4         55             0.7        1013
        491          4         55             0.8         859
        492          4         55             0.9         654
        493          4         55               1         450
        494          4         55             1.1         120
        495          4         55             1.2          33
        496          4         55             1.3          29
        497          4         55             1.4           8
        498          4         55             1.5           2
        499          4         56             0.5          15
        500          4         56             0.6         359
        501          4         56             0.7        1293
        502          4         56             0.8         973
        503          4         56             0.9         690
        504          4         56               1         479
        505          4         56             1.1         172
        506          4         56             1.2          40
        507          4         56             1.3          24
        508          4         56             1.4           4
        509          4         56             1.5           3
        510          4         56             1.6           2
        511          4         57             0.4           1
        512          4         57             0.5          23
        513          4         57             0.6         522
        514          4         57             0.7        1450
        515          4         57             0.8         960
        516          4         57             0.9         610
        517          4         57               1         520
        518          4         57             1.1         208
        519          4         57             1.2          58
        520          4         57             1.3          22
        521          4         57             1.4           4
        522          4         57             1.5           2
        523          4         57             1.6           3
        524          4         58             0.5          19
        525          4         58             0.6         517
        526          4         58             0.7        1481
        527          4         58             0.8         863
        528          4         58             0.9         458
        529          4         58               1         348
        530          4         58             1.1         144
        531          4         58             1.2          64
        532          4         58             1.3          30
        533          4         58             1.4           9
        534          4         58             1.5           4
        535          4         58             1.6           4
        536          4         59             0.5          28
        537          4         59             0.6         641
        538          4         59             0.7        1553
        539          4         59             0.8         947
        540          4         59             0.9         514
        541          4         59               1         292
        542          4         59             1.1         140
        543          4         59             1.2          45
        544          4         59             1.3          25
        545          4         59             1.4          15
        546          4         59             1.5           6
        547          4         59             1.6           6
        548          4         60             0.5          35
        549          4         60             0.6         652
        550          4         60             0.7        1515
        551          4         60             0.8         978
        552          4         60             0.9         540
        553          4         60               1         340
        554          4         60             1.1         135
        555          4         60             1.2          59
        556          4         60             1.3          36
        557          4         60             1.4           7
        558          4         60             1.5           7
        559          4         60             1.6          12
        560          4         61             0.5          26
        561          4         61             0.6         682
        562          4         61             0.7        1726
        563          4         61             0.8        1040
        564          4         61             0.9         474
        565          4         61               1         359
        566          4         61             1.1         144
        567          4         61             1.2          64
        568          4         61             1.3          39
        569          4         61             1.4          10
        570          4         61             1.5           5
        571          4         61             1.6           6
        572          4         61             1.7           1
        573          4         62             0.3           1
        574          4         62             0.4           3
        575          4         62             0.5          24
        576          4         62             0.6         742
        577          4         62             0.7        1743
        578          4         62             0.8        1067
        579          4         62             0.9         513
        580          4         62               1         332
        581          4         62             1.1         119
        582          4         62             1.2          53
        583          4         62             1.3          36
        584          4         62             1.4           7
        585          4         62             1.5           7
        586          4         62             1.6           4
        587          4         62             1.7           1
        588          4         63             0.5          16
        589          4         63             0.6         690
        590          4         63             0.7        1582
        591          4         63             0.8        1170
        592          4         63             0.9         577
        593          4         63               1         315
        594          4         63             1.1         114
        595          4         63             1.2          52
        596          4         63             1.3          38
        597          4         63             1.4          13
        598          4         63             1.5          12
        599          4         63             1.6           2
        600          4         63             1.7           2
        601          4         64             0.5          13
        602          4         64             0.6         587
        603          4         64             0.7        1549
        604          4         64             0.8        1163
        605          4         64             0.9         638
        606          4         64               1         435
        607          4         64             1.1         131
        608          4         64             1.2          39
        609          4         64             1.3          38
        610          4         64             1.4           8
        611          4         64             1.5          19
        612          4         64             1.6           6
        613          4         64             1.7           1
        614          4         65             0.5          15
        615          4         65             0.6         607
        616          4         65             0.7        1541
        617          4         65             0.8        1068
        618          4         65             0.9         635
        619          4         65               1         421
        620          4         65             1.1         177
        621          4         65             1.2          70
        622          4         65             1.3          34
        623          4         65             1.4          17
        624          4         65             1.5           6
        625          4         65             1.6           5
        626          4         65             1.7           1
        627          4         65             1.8           1
        628          4         66             0.5          12
        629          4         66             0.6         738
        630          4         66             0.7        1752
        631          4         66             0.8        1209
        632          4         66             0.9         663
        633          4         66               1         422
        634          4         66             1.1         172
        635          4         66             1.2          56
        636          4         66             1.3          33
        637          4         66             1.4          19
        638          4         66             1.5           6
        639          4         66             1.7           1
        640          4         67             0.5          12
        641          4         67             0.6         946
        642          4         67             0.7        2339
        643          4         67             0.8        1421
        644          4         67             0.9         742
        645          4         67               1         447
        646          4         67             1.1         145
        647          4         67             1.2          45
        648          4         67             1.3          22
        649          4         67             1.4          10
        650          4         67             1.5           8
        651          4         67             1.6           4
        652          4         68             0.5          28
        653          4         68             0.6        1312
        654          4         68             0.7        2784
        655          4         68             0.8        1676
        656          4         68             0.9         876
        657          4         68               1         436
        658          4         68             1.1         167
        659          4         68             1.2          45
        660          4         68             1.3          34
